────────────────────────────────────────────────────────────────────────
ProtoTPC nHits per Event — Segmentation Summary
Refs: ALICE JINST 5 P09002; STAR NIM A 499 659; Blum et al. (2008)
────────────────────────────────────────────────────────────────────────
 nSec   N_total    N_zero   zero_%   mean(all)   mean(n>0)
────────────────────────────────────────────────────────────────────────
    2    100000     94787    94.79       1.154      22.130
    4    100000     94790    94.79       1.160      22.258
    6    100000     94770    94.77       1.176      22.491
    8    100000     94800    94.80       1.176      22.616
   10    100000     94776    94.78       1.184      22.667
   12    100000     94787    94.79       1.180      22.643
   14    100000     94784    94.78       1.213      23.246
   16    100000     94764    94.76       1.215      23.197
   18    100000     94772    94.77       1.204      23.027
   20    100000     94774    94.77       1.217      23.287
   22    100000     94800    94.80       1.220      23.459
   24    100000     94768    94.77       1.249      23.873
